A_domina_idioma;A_colabora_voluntariamente;A_muestra_trato_correcto_respetuoso;A_se_muestra_reticente;A_agresivo_verbalmente;A_agresivo_fisicamente;A_mantiene_actitud_estuporosa;A_se_muestra_adormilado;A_se_muestra_contento;B_presenta_heridas;B_se_rasca_continuamente;B_sudoracion_inapropiada;B_respiracion_superficial;B_color_palido;B_muy_enrojecida;B_nariz_enrojecida;B_esnifa_constantemente;B_desarreglados;B_sucios;B_olor_halitosis_alcoholica;B_olor_cannabis;C_clara_logica;C_voz_baja_rasposa;C_titubeante;C_gritos_volumen_elevado;C_pastosa;C_repeticion_frases_ideas;C_incoherencias;C_locuacidad;C_dificultosa_lentificada_mal_articulada;C_tiempos_muy_elevados;D_sabe_determinar_la_hora_aproximada;D_conoce_el_dia_del_mes;D_sabe_indicar_dia_semana;D_conoce_el_año_en_curso;D_sabe_determinar_donde_se_encuentra;D_sabe_determinar_el_destino_de_su_viaje;D_sabe_determinar_el_origen_de_su_viaje;D_aporta_datos_sobre_ruta_viaje_prevista;D_facilita_su_nombre_y_apellidos;D_facilita_su_fecha_nacimiento;D_conoce_su_edad_cronologica;D_indica_su_direccion;E_coordinacion_y_deambulacion_correcta;E_incapacidad_mantenerse_en_pie;E_oscilaciones_verticalidad_cuerpo;E_perdidas_de_equilibrio;E_movimientos_descoordinados_o_inconexos;E_movimientos_excesivamente_rapidos;E_movimientos_excesivamente_lentificados;E_mala_coordinacion_ojo_mano;E_temblores_generalizados;E_temblores_de_piernas_o_manos;E_deambulacion_en_linea_recta_se_desvia_excesivamente;E_deambulacion_en_linea_recta_utiliza_los_bracos_para_mantener_el_equilibrio;E_deambulacion_en_linea_recta_gira_de_forma_incorrecta;F_Dificultades_para_contar_hasta_20_2;F_Dificultades_para_contar_hasta_20_3;F_Dificultades_en_la_lectura;G_hace_referencias_a_ver;G_hace_referencia_a_oir;G_conjuntiva_enrojecida_o_con_edema;G_ojos_brillantes_llorosos_vidriosos;G_movimientos_oculares_de_seguimiento;G_aparicion_de_nistagmo;G_aparicion_de_nistagmo_a_45_grados;G_diametro_pupilar_concentracion;G_diametro_pupilar_dilatacion;G_reaccion_pupilar;G_diametro_pupilar_ambos_ojos_presentan;influencia
0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;5.03;1
1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;4.98;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;4.5;1
1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;4.98;1
0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;1;1;1;5.69;1
0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;4.93;1
0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;5.35;1
0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;4.99;1
0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;0;5.64;1
1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;5.16;1
0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;1;5.25;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;4.79;1
1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;5.24;1
1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;4.93;1
0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;4.72;1
0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;5.18;1
1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;1;4.62;1
0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;4.76;1
1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;0;5.35;1
0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;5.92;1
0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;5.49;1
0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;5.47;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;1;1;1;5.26;1
0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;4.95;1
0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;5.31;1
1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;5.91;1
0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;4.86;1
0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;5.65;1
0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;5.46;1
0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;5.11;1
0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;4.82;1
1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1;5.37;1
1;1;1;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;5.08;1
0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0;4.99;1
0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;5.42;1
1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;4.78;1
0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;5.12;1
0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;6.04;1
0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;1;5.2;1
0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.69;1
1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;4.71;1
0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;5.46;1
1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;6.03;1
1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;5.05;1
0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;4.72;1
1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;5.08;1
0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;5.41;1
1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;5.07;1
0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;5.21;1
1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;5.08;1
0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;4.89;1
0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;0;1;5.02;1
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;0;4.84;1
1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;4.68;1
1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;4.88;1
0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;4.52;1
0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;5.56;1
1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2.66;0
1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;3.31;0
1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;3.33;0
0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4.0;0
0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3.23;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;3.62;0
1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3.23;0
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3.73;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;3.41;0
0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3.45;0
0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2.5;0
0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;3.05;0
0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;3.97;0
0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.61;0
